event_id,ts,category,rule,src,src_mac,dst,dst_mac,flows,spkts,dpkts,sbytes,dbytes,uniq_dports,proto,top_dport,atk,mal,shadow_atk,shadow_mal,atk_thr,mal_thr,decision
2026-04-04 14:16:37|ATTACK|SSH_BRUTE_FORCE|192.168.89.10|192.168.88.1|e9e182fc114e,2026-04-04 14:16:37,ATTACK,SSH_BRUTE_FORCE,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,24,96,0,14400,0,1,6,22,0.940157,,0.531566,0.468434,0.500,,REDIRECTED_TO_HONEYPOT
2026-04-04 14:17:16|OBSERVED|OBS_UNKNOWN|192.168.89.10|192.168.88.1|cacf2f6cf6aa,2026-04-04 14:17:16,OBSERVED,OBS_UNKNOWN,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,4,40,2,5665,104,2,6,80,,,0.522208,0.477792,,,OBSERVED
2026-04-04 15:09:03|ATTACK|PORT_SCAN|192.168.89.10|192.168.88.200|9d526c1305b9,2026-04-04 15:09:03,ATTACK,PORT_SCAN,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,37239,37250,35334,1639092,1413384,37230,6,0,0.999154,,0.853078,0.146922,0.600,,BLOCKED
2026-04-04 15:11:01|ATTACK|TCP_FLOOD|192.168.89.10|192.168.88.200|77dbd74beec7,2026-04-04 15:11:01,ATTACK,TCP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,30185,60361,30106,2414728,1324736,1,6,445,0.999996,,0.551417,0.448583,0.720,,BLOCKED
2026-04-04 15:11:30|OBSERVED|OBS_PING|192.168.88.200|192.168.89.10|a59144d2bdf5,2026-04-04 15:11:30,OBSERVED,OBS_PING,192.168.88.200,08:00:27:3D:FF:04,192.168.89.10,08:00:27:65:1D:09,1,7,0,392,0,1,1,0,,,,,,,SUPPRESSED_VICTIM_LEG
2026-04-04 15:12:07|ATTACK|ICMP_FLOOD|192.168.89.10|192.168.88.200|ed01771fbe6e,2026-04-04 15:12:07,ATTACK,ICMP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,4,127990,127971,3583720,3583216,1,1,0,0.874220,,0.659064,0.340936,0.550,,BLOCKED
2026-04-04 15:13:04|ATTACK|UDP_FLOOD|192.168.89.10|192.168.88.200|7b88ebeaf013,2026-04-04 15:13:04,ATTACK,UDP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,71229,71229,1,1994412,56,1,17,123,0.999948,,0.546110,0.453890,0.720,,BLOCKED
2026-04-04 15:13:38|ATTACK|HTTP_FLOOD|192.168.89.10|192.168.88.1|18b48b570873,2026-04-04 15:13:38,ATTACK,HTTP_FLOOD,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,2891,21479,24638,1390916,20273556,1,6,80,0.999987,,0.688827,0.311173,0.720,,BLOCKED
2026-04-04 15:14:25|ATTACK|SSH_BRUTE_FORCE|192.168.89.10|192.168.88.1|1e3ec8400d6e,2026-04-04 15:14:25,ATTACK,SSH_BRUTE_FORCE,192.168.89.10,08:00:27:65:1D:09,192.168.88.1,2C:C8:1B:11:11:FC,25,100,0,15000,0,1,6,22,0.874145,,0.531892,0.468108,0.500,,REDIRECTED_TO_HONEYPOT
2026-04-04 15:15:05|MALWARE|CRYPTO_MINER|192.168.89.10|192.168.88.200|21d9713f98af,2026-04-04 15:15:05,MALWARE,CRYPTO_MINER,192.168.89.10,08:00:27:65:1D:09,192.168.88.200,08:00:27:3D:FF:04,2157,2257,7,514596,1792,1,17,3333,,0.999997,0.419332,0.580668,,0.600,BLOCKED_ESCALATED_TO_BLOCK
